quote,author,tags
thereismorethanonewaytoburnabook.andtheworldisfullofpeoplerunningaboutwithlitmatches.,Ray Bradbury,['censorship']
"thequestionisnotwhatyoulookat,butwhatyousee.",Henry David Thoreau,['inspirational']
"iwasalwayshungryforlove.justonce,iwantedtoknowwhatitwasliketogetmyfillofittobefedsomuchloveicouldnttakeanymore.justonce.","Haruki Murakami,",['love']
"...youknowthatagood,longsessionofweepingcanoftenmakeyoufeelbetter,evenifyourcircumstanceshavenotchangedonebit.","Lemony Snicket,",['crying']
dontcryoversomeonewhowouldntcryoveryou.,Lauren Conrad,"['crying', 'heartache', 'love', 'sadness', 'tears']"
youcanonlybeyoungonce.butyoucanalwaysbeimmature.,Pat  Monahan,"['humor', 'immature', 'young']"
"thethingsyouusedtoown,nowtheyownyou.","Chuck Palahniuk,","['own', 'things']"
"if,then,iwereaskedforthemostimportantadviceicouldgive,thatwhichiconsideredtobethemostusefultothemenofourcentury,ishouldsimplysayinthenameofgod,stopamoment,ceaseyourwork,lookaroundyou.","Leo Tolstoy,","['advice-for-writers', 'awareness', 'life']"
"youdealwithmythologicalstuffforafewyears,youlearnthatparadisesareusuallyplaceswhereyougetkilled.","Rick Riordan,","['humor', 'mythological', 'paradise']"
"ifsomeoneweretoharmmyfamilyorafriendorsomebodyilove,iwouldeatthem.imightendupinjailfor500years,butiwouldeatthem.",Johnny Depp,"['humour', 'love']"
"ifyouwanttogetlaid,gotocollege.ifyouwantaneducation,gotothelibrary.",Frank Zappa,"['education', 'sex']"
hopeisawakingdream.,Aristotle,"['dreams', 'hope']"
"wecantbeafraidofchange.youmayfeelverysecureinthepondthatyouarein,butifyouneverventureoutofit,youwillneverknowthatthereissuchathingasanocean,asea.holdingontosomethingthatisgoodforyounow,maybetheveryreasonwhyyoudonthavesomethingbetter.",C. JoyBell C.,"['change', 'changes', 'courage', 'encouragement', 'exploration', 'growing', 'inspirational-quotes', 'letting-go', 'life-and-living', 'self-discovery']"
"tolovelife,toloveitevenwhenyouhavenostomachforitandeverythingyouvehelddearcrumbleslikeburntpaperinyourhands,yourthroatfilledwiththesiltofit.whengriefsitswithyou,itstropicalheatthickeningtheair,heavyaswatermorefitforgillsthanlungswhengriefweightsyoulikeyourownfleshonlymoreofit,anobesityofgrief,youthink,howcanabodywithstandthisthenyouholdlifelikeafacebetweenyourpalms,aplainface,nocharmingsmile,novioleteyes,andyousay,yes,iwilltakeyouiwillloveyou,again.",Ellen Bass,"['acceptance', 'hope', 'life', 'love']"
thegoodthingaboutscienceisthatitstruewhetherornotyoubelieveinit.,Neil deGrasse Tyson,"['belief', 'science', 'true']"
"god,butlifeisloneliness,despitealltheopiates,despitetheshrilltinselgaietyofpartieswithnopurpose,despitethefalsegrinningfacesweallwear.andwhenatlastyoufindsomeonetowhomyoufeelyoucanpouroutyoursoul,youstopinshockatthewordsyouuttertheyaresorusty,sougly,someaninglessandfeeblefrombeingkeptinthesmallcrampeddarkinsideyousolong.yes,thereisjoy,fulfillmentandcompanionshipbutthelonelinessofthesoulinitsappallingselfconsciousnessishorribleandoverpowering.","Sylvia Plath,","['grief', 'loneliness']"
"hediednotformen,butforeachman.ifeachmanhadbeentheonlymanmade,hewouldhavedonenoless.",C.S. Lewis,"['god', 'religion']"
"igotschooledthisyearbyaboy.aboythatimseriously,deeply,madly,incredibly,andundeniablyin","Colleen Hoover,","['layken', 'slammed']"
"ivebeenfightingtobewhoiamallmylife.whatsthepointofbeingwhoiam,ificanthavethepersonwhowasworthallthefightingfor","Stephanie Lennox,","['fighting', 'funny', 'humour', 'husband', 'inspirational', 'love', 'lover', 'relationships', 'romance', 'spiritual', 'sweet', 'wife']"
"absencediminishessmalllovesandincreasesgreatones,asthewindblowsoutthecandleandfansthebonfire.","Francois Duc de la Rochefoucauld,",['love']
thosewhocannotchangetheirmindscannotchangeanything.,George Bernard Shaw,"['adaptation', 'change', 'open-mindedness', 'self-improvement']"
"haveyoueverlostsomeoneyouloveandwantedonemoreconversation,onemorechancetomakeupforthetimewhenyouthoughttheywouldbehereforeverifso,thenyouknowyoucangoyourwholelifecollectingdays,andnonewilloutweightheoneyouwishyouhadback.","Mitch Albom,",['loss']
"literatureisatextuallytransmitteddisease,normallycontractedinchildhood.","Jane Yolen,","['childhood', 'disease', 'literature']"
awellcomposedbookisamagiccarpetonwhichwearewaftedtoaworldthatwecannotenterinanyotherway.,Caroline Gordon,"['books', 'imagination', 'writing']"
"weneednottobeletalone.weneedtobereallybotheredonceinawhile.howlongisitsinceyouwerereallybotheredaboutsomethingimportant,aboutsomethingreal","Ray Bradbury,",['reality-bothered']
"anybodycansympathisewiththesufferingsofafriend,butitrequiresaveryfinenaturetosympathisewithafriendssuccess.",Oscar Wilde,['friendship']
"wedonotbelieveinourselvesuntilsomeonerevealsthatdeepinsideussomethingisvaluable,worthlisteningto,worthyofourtrust,sacredtoourtouch.oncewebelieveinourselveswecanriskcuriosity,wonder,spontaneousdelightoranyexperiencethatrevealsthehumanspirit.",E.E. Cummings,['inspirational-human-spirit']
"ifbookscouldhavemore,givemore,bemore,showmore,theywouldstillneedreaderswhobringtothemsoundandsmellandlightandalltherestthatcantbeinbooks.thebookneedsyou.","Gary Paulsen,",['books']
"ifyouretextingmagnustosayithinkurkewl,imgoingtokillyou.whosmagnusmaxinquired.hesawarlock,saidalec.asexy,sexywarlock,isabelletoldmax,ignoringalecslookoftotalfury.butwarlocksarebad,protestedmax,lookingbaffled.exactly,saidisabelle.","Cassandra Clare,","['alec', 'city-of-ashes', 'isabelle', 'magnus-bane', 'max', 'mortal-instruments']"
"ifnoonecaresforyouatall,doyouevenreallyexist","Cassandra Clare,",['will-herondale']
"therearetwotypesofpeopleintheworldthosewhoprefertobesadamongothers,andthosewhoprefertobesadalone.","Nicole Krauss,","['comfort', 'sad', 'sadness']"
"iimagineoneofthereasonspeopleclingtotheirhatessostubbornlyisbecausetheysense,oncehateisgone,theywillbeforcedtodealwithpain.","James Baldwin,","['fear', 'hate', 'pain']"
"heardmelodiesaresweet,butthoseunheard,aresweeter","John Keats,","['philosophy', 'religion', 'science']"
sometimeslovemeanslettinggowhenyouwanttoholdontighter.,"Melissa Marr,",['love']
amansfaceishisautobiography.awomansfaceisherworkoffiction.,Oscar Wilde,"['gender-stereotypes', 'men', 'men-and-women', 'women']"
"alwaysbeapoet,eveninprose.",Charles Baudelaire,"['poetry', 'prose', 'writing']"
"thepowerofaglancehasbeensomuchabusedinlovestories,thatithascometobedisbelievedin.fewpeopledarenowtosaythattwobeingshavefalleninlovebecausetheyhavelookedateachother.yetitisinthiswaythatlovebegins,andinthiswayonly.","Victor Hugo,","['attraction', 'love']"
incrediblechangehappensinyourlifewhenyoudecidetotakecontrolofwhatyoudohavepoweroverinsteadofcravingcontroloverwhatyoudont.,"Steve Maraboli,","['change', 'control', 'empowerment', 'inspirational', 'letting-go', 'life', 'motivational']"
"ibelieveingod,butnotasonething,notasanoldmaninthesky.ibelievethatwhatpeoplecallgodissomethinginallofus.ibelievethatwhatjesusandmohammedandbuddhaandalltherestsaidwasright.itsjustthatthetranslationshavegonewrong.",John Lennon,"['god', 'organized-religion', 'religion', 'spirituality']"
"amotheristhetruestfriendwehave,whentrialsheavyandsuddenfalluponuswhenadversitytakestheplaceofprosperitywhenfriendsdesertuswhentroublethickensaroundus,stillwillsheclingtous,andendeavorbyherkindpreceptsandcounselstodissipatethecloudsofdarkness,andcausepeacetoreturntoourhearts.",Washington Irving,['mother']
"iknowhowdevastatedyoumustbetomissme,butleaveamessage,andilltrytoeaseyouragony","Richelle Mead,",['adrian-ivashkov']
didyoureallywanttodienoonecommitssuicidebecausetheywanttodie.thenwhydotheydoitbecausetheywanttostopthepain.,"Tiffanie DeBartolo,","['intent', 'pain', 'suicide']"
thepastisneverwhereyouthinkyouleftit.,Katherine Anne Porter,['past']
thehomemakerhastheultimatecareer.allothercareersexistforonepurposeonlyandthatistosupporttheultimatecareer.,C.S. Lewis,['family']
iwanttobeinarelationshipwhereyoutellingmeyoulovemeisjustaceremoniousvalidationofwhatyoualreadyshowme.,"Steve Maraboli,","['action', 'being-loved', 'inspirational', 'life', 'love', 'relationships']"
therearemomentswhentroublesenterourlivesandwecandonothingtoavoidthem.buttheyarethereforareason.onlywhenwehaveovercomethemwillweunderstandwhytheywerethere.,"Paulo Coelho,","['encouragement', 'wisdom']"
"youcouldsaysorry,suggestedharrybluntly.what,andgetattackedbyanotherflockofcanariesmutteredron.whatdidyouhavetoimitateherforshelaughedatmymustachesodidi,itwasthestupidestthingiveeverseen.","J.K. Rowling,",['humor-mustache']
"dreamsarealwayscrushingwhentheydontcometrue.butitsthesimpledreamsthatareoftenthemostpainfulbecausetheyseemsopersonal,soreasonable,soattainable.yourealwayscloseenoughtotouch,butneverquitecloseenoughtoholdanditsenoughtobreakyourheart.","Nicholas Sparks,",['life-dreams']
"demonpox,ohdemonpoxjusthowisitacquiredonemustgodowntothebadpartoftownuntiloneisverytired.demonpox,ohdemonpox,ihaditallalongnotthepox,youfoolishblocks,imeanthisverysongforiwasright,andyouwerewrongwillcharlotteshoutedoverthenoise,haveyoulostyourmindceasethatinfernalracketjemjem,risingtohisfeet,clappedhishandsoverwillsmouth.doyoupromisetobequiethehissedintohisfriendsear.willnodded,blueeyesblazing.tessawasstaringathiminamazementtheyallwere.shehadseenwillmanythingsamused,bitter,condescending,angry,pityingbutnevergiddybefore.jemlethimgo.allright,then.willslidtothefloor,hisbackagainstthearmchair,andthrewuphisarms.ademonpoxonallyourhousesheannounced,andyawned.oh,god,weeksofpoxjokes,saidjem.wereinforitnow.","Cassandra Clare,","['demon', 'pox', 'will']"
"wedreamtogiveourselveshope.tostopdreamingwell,thatslikesayingyoucanneverchangeyourfate.","Amy Tan,","['dream', 'fate', 'hope']"
"nothingtravelsfasterthanthespeedoflight,withthepossibleexceptionofbadnews,whichobeysitsownspeciallaws.","Douglas Adams,","['humor', 'novelist', 'science-fiction']"
"inoneaspect,yes,ibelieveinghosts,butwecreatethem.wehauntourselves.","Laurie Halse Anderson,","['ghosts', 'haunt']"
fashionisaformofuglinesssointolerablethatwehavetoalteriteverysixmonths.,Oscar Wilde,['fashion']
greatmindsdiscussideas.averagemindsdiscussevents.smallmindsdiscusspeople.,Henry Thomas Buckle,"['creativity', 'dreams', 'gossip', 'misattributed-eleanor-roosevelt', 'paraphrased']"
"idontmindmakingjokes,butidontwanttolooklikeone.",Marilyn Monroe,"['appearance', 'jokes', 'marilyn-monroe']"
"nothinginlifeistobefeared,itisonlytobeunderstood.nowisthetimetounderstandmore,sothatwemayfearless.",Marie Curie,"['fear', 'life', 'science', 'understanding']"
asmallbutnoteworthynote.iveseensomanyyoungmenovertheyearswhothinktheyrerunningatotheryoungmen.theyarenot.theyarerunningatme.,"Markus Zusak,","['death', 'war']"
imhappy.whichoftenlookslikecrazy.,"David Henry Hwang,",['happiness']
"iguessthatswhatsayinggoodbyeisalwayslikelikejumpingoffanedge.theworstpartismakingthechoicetodoit.onceyoureintheair,theresnothingyoucandobutletgo.","Lauren Oliver,","['before-i-fall', 'young-adult-fiction']"
mostmenwouldratherdenyahardtruththanfaceit.,"George R.R. Martin,","['denial', 'honesty', 'truth']"
mengotofargreaterlengthstoavoidwhattheyfearthantoobtainwhattheydesire.,"Dan Brown,","['desire', 'fear', 'human-nature']"
lifeiseitheradaringadventureornothingatall.,"Helen Keller,","['carpe-diem', 'challenges', 'enjoy-life', 'life', 'risk-taking']"
hefeltthathiswholelifewassomekindofdreamandhesometimeswonderedwhoseitwasandwhethertheywereenjoyingit.,"Douglas Adams,",['dreams']
"thereisapleasureinthepathlesswoods,thereisaraptureonthelonelyshore,thereissociety,wherenoneintrudes,bythedeepsea,andmusicinitsroarilovenotmantheless,butnaturemore",Lord Byron,"['nature', 'poetry', 'solitude']"
"well,shesnotrespondingtomyadvances,heobservedmorebrightlythanhefelt,soshemustbedead.orshesawomanofgoodtasteandsense.","Cassandra Clare,",['clockwork-angel']
imnotinthisworldtoliveuptoyourexpectationsandyourenotinthisworldtoliveuptomine.,Bruce Lee,"['expectations', 'individuality', 'peer-pressure', 'wisdom']"
freedomliesinbeingbold.,Robert Frost,"['boldness', 'courage', 'freedom']"
"gusittasteslike...mefood.gusyes,precisely.ittasteslikefood,excellentlyprepared.butitdoesnottaste,howdoiputthisdelicately...meitdoesnottastelikegodhimselfcookedheavenintoaseriesoffivedisheswhichwerethenservedtoyouaccompaniedbyseveralluminousballsoffermented,bubblyplasmawhileactualandliteralflowerpetalsfloateddownaroundyourcanalsidedinnertable.gusnicelyphrased.gussfatherourchildrenareweird.mydadnicelyphrased.","John Green,","['food-discussion', 'tfios']"
"ifyoustay,illdowhateveryouwant.illquittheband,gowithyoutonewyork.butifyouneedmetogoaway,illdothat,too.iwastalkingtolizandshesaidmaybecomingbacktoyouroldlifewouldbetoopainful,thatmaybeitdbeeasierforyoutoeraseus.andthatwouldsuck,butiddoit.icanloseyoulikethatifidontloseyoutoday.illletyougo.ifyoustay.","Gayle Forman,","['infatuation', 'life', 'love', 'self-sacrifice']"
aparanoidissomeonewhoknowsalittleofwhatsgoingon.,William S. Burroughs,"['drugs', 'philosophy', 'politics']"
"youareokayheasked.noteatenbymonstersnotevenalittlebit.ishowedhimthatistillhadbotharmsandbothlegs,andtysonclappedhappily.yayhesaid.nowwecaneatpeanutbuttersandwichesandridefishponieswecanfightmonstersandseeannabethandmakethingsgoboomihopedhedidntmeanallatthesametime,butitoldhimabsolutely,wedhavealotoffunthissummer.","Rick Riordan,","['annabeth-chase', 'olympians', 'peanut-butter', 'percy-jackson', 'tyson']"
"theimpossiblecouldnothavehappened,thereforetheimpossiblemustbepossibleinspiteofappearances.","Agatha Christie,",['impossible']
"thebestwaytonotfeelhopelessistogetupanddosomething.dontwaitforgoodthingstohappentoyou.ifyougooutandmakesomegoodthingshappen,youwillfilltheworldwithhope,youwillfillyourselfwithhope.",Barack Obama,"['determination', 'helping-others', 'hope', 'initiative', 'just-do-it', 'proactivity', 'service', 'volunteerism', 'work']"
thesurestwaytocorruptayouthistoinstructhimtoholdinhigheresteemthosewhothinkalikethanthosewhothinkdifferently.,Friedrich Nietzsche,"['corruption', 'individuality', 'peer-pressure', 'youth']"
"ifyouhavethewords,theresalwaysachancethatyoullfindtheway.","Seamus Heaney,","['expression', 'finding-your-voice', 'poetry']"
"storiesyoureadwhenyouretherightageneverquiteleaveyou.youmayforgetwhowrotethemorwhatthestorywascalled.sometimesyoullforgetpreciselywhathappened,butifastorytouchesyouitwillstaywithyou,hauntingtheplacesinyourmindthatyourarelyevervisit.","Neil Gaiman,","['haunting', 'life', 'mind', 'stories', 'youth']"
"manypeoplewillwalkinandoutofyourlife,butonlytruefriendswillleavefootprintsinyourheart",Eleanor Roosevelt,['friends']
isitbesidethefireandthinkofallthatihaveseenofmeadowflowersandbutterfliesinsummersthathavebeenofyellowleavesandgossamerinautumnsthattherewerewithmorningmistandsilversunandwinduponmyhairisitbesidethefireandthinkofhowtheworldwillbewhenwintercomeswithoutaspringthatishalleverseeforstilltherearesomanythingsthatihaveneverseenineverywoodineveryspringthereisadifferentgreenisitbesidethefireandthinkofpeoplelongagoandpeoplethatwillseeaworldthatishallneverknowbutallthewhileisitandthinkoftimestherewerebeforeilistenforreturningfeetandvoicesatthedoor,J.R.R. Tolkien,"['life', 'time']"
haveyoutriedtalkingtoherno.wevebeenpunchingherinthefacerepeatedly.whatyoudontthinkthatwillwork,"Cassandra Clare,",['humor-sarcasm']
"withenoughcourage,youcandowithoutareputation.",Margaret Mitchell,"['courage', 'reputation']"
namethegreatestofallinventors.accident.,Mark Twain,['inventing-humor']
keepyourfacealwaystowardthesunshineandshadowswillfallbehindyou.,Walt Whitman,"['advice-for-daily-living', 'inspirational', 'positive-attitude']"
"watchoutforintellect,becauseitknowssomuchitknowsnothingandleavesyouhangingupsidedown,mouthingknowledgeasyourheartfallsoutofyourmouth.","Anne Sexton,","['intellect', 'love', 'poetry']"
"allourdreamscancometrue,ifwehavethecouragetopursuethem.",Walt Disney,['dream']
"imaginationislikeamuscle.ifoundoutthatthemoreiwrote,thebiggeritgot.",Philip JosÃ© Farmer,"['imagination', 'writing']"
theadvantageofabadmemoryisthatoneenjoysseveraltimesthesamegoodthingsforthefirsttime.,Friedrich Nietzsche,"['forgetfulness', 'forgetting', 'happiness', 'memory']"
"yourvisionswillbecomeclearonlywhenyoucanlookintoyourownheart.wholooksoutside,dreamswholooksinside,awakes.",C.G. Jung,"['introspection', 'psychotherapist', 'secrets', 'self-awareness', 'visions']"
"mentalpainislessdramaticthanphysicalpain,butitismorecommonandalsomorehardtobear.thefrequentattempttoconcealmentalpainincreasestheburdenitiseasiertosaymytoothisachingthantosaymyheartisbroken.","C.S. Lewis,","['depression', 'pain']"
"alone.yes,thatsthekeyword,themostawfulwordintheenglishtongue.murderdoesntholdacandletoitandhellisonlyapoorsynonym.",Stephen King,"['horror', 'vampire']"
nothingtakesthetasteoutofpeanutbutterquitelikeunrequitedlove.,Charles M. Schulz,"['humor', 'love']"
youcantwaitforinspiration.youhavetogoafteritwithaclub.,Jack London,"['inspiration', 'on-writing', 'writing']"
"whenyoutripoverlove,itiseasytogetup.butwhenyoufallinlove,itisimpossibletostandagain.",Albert Einstein,['love']
"usuallywewalkaroundconstantlybelievingourselves.imokaywesay.imalright.butsometimesthetrutharrivesonyouandyoucantgetitoff.thatswhenyourealizethatsometimesitisntevenanansweritsaquestion.evennow,iwonderhowmuchofmylifeisconvinced.","Markus Zusak,",['truth']
"themoreclearlywecanfocusourattentiononthewondersandrealitiesoftheuniverseaboutus,thelesstasteweshallhavefordestruction.",Rachel Carson,"['destruction', 'ecology', 'reality', 'universe', 'wonder']"
"youthinkbecausehedoesntloveyouthatyouareworthless.youthinkthatbecausehedoesntwantyouanymorethatheisrightthathisjudgementandopinionofyouarecorrect.ifhethrowsyouout,thenyouaregarbage.youthinkhebelongstoyoubecauseyouwanttobelongtohim.dont.itsabadword,belong.especiallywhenyouputitwithsomebodyyoulove.loveshouldntbelikethat.didyoueverseethewaythecloudsloveamountaintheycircleallarounditsometimesyoucantevenseethemountainfortheclouds.butyouknowwhatyougouptopandwhatdoyouseehishead.thecloudsnevercoverthehead.hisheadpokesthrough,beacusethecloudslethimtheydontwraphimup.theylethimkeephisheaduphigh,free,withnothingtohidehimorbindhim.youcantownahumanbeing.youcantlosewhatyoudontown.supposeyoudidownhim.couldyoureallylovesomebodywhowasabsolutelynobodywithoutyouyoureallywantsomebodylikethatsomebodywhofallsapartwhenyouwalkoutthedooryoudont,doyouandneitherdoeshe.youreturningoveryourwholelifetohim.yourwholelife,girl.andifitmeanssolittletoyouthatyoucanjustgiveitaway,handittohim,thenwhyshoulditmeananymoretohimhecantvalueyoumorethanyouvalueyourself.",Toni Morrison,"['emotion', 'love', 'self-respect', 'value']"
solightafireharrychoked.yes...ofcourse...buttheresnowood...haveyougonemadronbellowed.areyouawitchornot,"J.K. Rowling,",['witch']
idecideditisbettertoscream.silenceistherealcrimeagainsthumanity.,"Nadezhda Mandelstam,","['silence', 'voice']"
whoeveriscarelesswiththetruthinsmallmatterscannotbetrustedwithimportantmatters,Albert Einstein,"['character', 'honesty', 'integrity']"
"willrolleduphissleeves.wellprobablyhavetoknockdownthedooror,saidjem,reachingoutandgivingtheknobatwist,not.thedoorswungopenontoarectangleofdarkness.now,thatssimplylaziness,saidwill.","Cassandra Clare,",['clockwork-angel']
"iambothhappyandsadatthesametime,andimstilltryingtofigureouthowthatcouldbe.","Stephen Chbosky,","['confused', 'happy', 'sad']"
"anotherbeliefofminethateveryoneelsemyageisanadult,whereasiammerelyindisguise.","Margaret Atwood,",['age-adult']
autumnisasecondspringwheneveryleafisaflower.,Albert Camus,['autumn']
"atticussaidtojemoneday,idratheryoushotattincansinthebackyard,butiknowyoullgoafterbirds.shootallthebluejaysyouwant,ifyoucanhitem,butrememberitsasintokillamockingbird.thatwastheonlytimeieverheardatticussayitwasasintodosomething,andiaskedmissmaudieaboutit.yourfathersright,shesaid.mockingbirdsdontdoonethingexceptmakemusicforustoenjoy.theydonteatuppeoplesgardens,dontnestincorncribs,theydontdoonethingbutsingtheirheartsoutforus.thatswhyitsasintokillamockingbird.","Harper Lee,",['scout']
beingwithyouneverfeltwrong.itstheonethingididright.youretheonethingididright.,"Becca Fitzpatrick,","['crescendo', 'love', 'patch']"
ismanmerelyamistakeofgodsorgodmerelyamistakeofman,Friedrich Nietzsche,"['atheism', 'organized-religion', 'paradox', 'religion']"
"shootforthemoon.evenifyoumiss,youlllandamongthestars.",Norman Vincent Peale,['inspirational']
"forme,iamdrivenbytwomainphilosophiesknowmoretodayabouttheworldthaniknewyesterdayandlessenthesufferingofothers.youdbesurprisedhowfarthatgetsyou.",Neil deGrasse Tyson,"['compassion', 'inspiration', 'inspirational', 'knowledge', 'learning', 'philosophy', 'science', 'values']"
thereisaplaceintheheartthatwillneverbefilledaspaceandevenduringthebestmomentsandthegreatesttimestimeswewillknowitwewillknowitmorethaneverthereisaplaceintheheartthatwillneverbefilledandwewillwaitandwaitinthatspace.,Charles bukowski,"['death', 'inspirational']"
"idecidedaslongasimgoingtohell,imightaswelldoitthoroughly.","Stephenie Meyer,","['host', 'ian', 'jamie', 'jared', 'melanie', 'uncle-jeb', 'wanda']"
"youllgetoverititstheclichsthatcausethetrouble.tolosesomeoneyouloveistoalteryourlifeforever.youdontgetoveritbecauseitisthepersonyouloved.thepainstops,therearenewpeople,butthegapnevercloses.howcouldittheparticularnessofsomeonewhomatteredenoughtogrieveoverisnotmadeanodynebydeath.thisholeinmyheartisintheshapeofyouandnooneelsecanfitit.whywouldiwantthemto","Jeanette Winterson,","['loss', 'love']"
donotsetasideyourhappiness.donotwaittobehappyinthefuture.thebesttimetobehappyisalwaysnow.,Roy T. Bennett,"['happiness', 'happy', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-quotes', 'living', 'living-now', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
"goodsexislikegoodbridge.ifyoudonthaveagoodpartner,youdbetterhaveagoodhand.",Mae West,"['humor', 'sex']"
"...andthen,ihavenatureandartandpoetry,andifthatisnotenough,whatisenough",Vincent Willem van Gogh,"['art', 'nature', 'poetry', 'suicide']"
howdoilovetheeletmecounttheways.ilovetheetothedepthandbreadthandheightmysoulcanreach,Elizabeth Barrett Browning,"['love', 'sonnet']"
"hewasthecrazyonewhohadpaintedhimselfblackanddefeatedtheworld.shewasthebookthiefwithoutthewords.trustme,though,thewordswereontheirway,andwhentheyarrived,lieselwouldholdtheminherhandsliketheclouds,andshewouldwringthemoutlikerain.","Markus Zusak,","['books', 'meaning', 'patience', 'words']"
wheneverpeopleagreewithmeialwaysfeelimustbewrong.,Oscar Wilde,['agree']
"iwasnotapet,notadoll,notananimal.iwasasurvivor,andiwasstrong.iwouldnotbeweak,orhelplessagainiwouldnot,couldnotbebroken.tamed.","Sarah J. Maas,","['a-court-of-mist-and-fury', 'acomaf', 'feyre']"
"withoutyouinmyarms,ifeelanemptinessinmysoul.ifindmyselfsearchingthecrowdsforyourfaceiknowitsanimpossibility,buticannothelpmyself.","Nicholas Sparks,","['grief', 'love']"
"womenwantlovetobeanovel.men,ashortstory.",Daphne du Maurier,['writing']
"whenidogood,ifeelgood.whenidobad,ifeelbad.thatsmyreligion.",Abraham Lincoln,"['abraham-lincoln', 'religion']"
"ofcoursemotivationisnotpermanent.butthen,neitherisbathingbutitissomethingyoushoulddoonaregularbasis.","Zig Ziglar,","['bathing', 'humor', 'motivation']"
nevermissagoodchancetoshutup.,Will Rogers,"['advice', 'funny', 'reticence', 'silence']"
"ifalltheworldhatedyouandbelievedyouwicked,whileyourownconscienceapprovedofyouandabsolvedyoufromguilt,youwouldnotbewithoutfriends.","Charlotte BrontÃ«,","['conscience', 'innocence']"
ihatemenwhoareafraidofwomensstrength.,"AnaÃ¯s Nin,","['empowerment', 'feminism', 'woman', 'women-s-strenth']"
"nevermarryatall,dorian.menmarrybecausetheyaretired,women,becausetheyarecuriousbotharedisappointed.","Oscar Wilde,","['disappointment', 'dorian-gray', 'marriage', 'men', 'relationships', 'women']"
wellreadpeoplearelesslikelytobeevil.,"Lemony Snicket,",['humor-reading']
"therewillbeafewtimesinyourlifewhenallyourinstinctswilltellyoutodosomething,somethingthatdefieslogic,upsetsyourplans,andmayseemcrazytoothers.whenthathappens,youdoit.listentoyourinstinctsandignoreeverythingelse.ignorelogic,ignoretheodds,ignorethecomplications,andjustgoforit.","Judith McNaught,","['attitude', 'inspirational-quotes', 'life-lessons', 'robert-foster']"
isufferfromgirlnextdooritiswheretheguyisfriendswithyouandthatsit.,Taylor Swift,['relationships']
whatdrawspeopletobefriendsisthattheyseethesametruth.theyshareit.,C. S. Lewis,['love-friendship']
lookateverythingalwaysasthoughyouwereseeingiteitherforthefirstorlasttimethusisyourtimeonearthfilledwithglory.,"Betty Smith,","['awareness', 'wonder']"
behindthismaskthereismorethanjustflesh.beneaththismaskthereisanidea...andideasarebulletproof.,"Alan Moore,",['ideas']
thecourseoftrueloveneverdidrunsmooth.,"William Shakespeare,","['love', 'true-love']"
thebestwayoutisalwaysthrough.,Robert Frost,"['feelings', 'persistence', 'problems']"
scienceisnotonlycompatiblewithspiritualityitisaprofoundsourceofspirituality.,"Carl Sagan,","['metaphysics', 'philosophy', 'science', 'sense-of-wonder', 'spirituality']"
"howlongwasiasleepshewhispered.hedidntrespond.howlongwasiasleepsheaskedagain,andnoticedahintofredinhischeeks.youwereasleep,toountilyoubegandroolingonmyshoulder.","Sarah J. Maas,","['celaena-sardothien', 'chaol-westfall', 'throne-of-glass']"
"sometimes,thebestwaytohelpsomeoneisjusttobenearthem.","Veronica Roth,",['comfort']
"youbelieveinabookthathastalkinganimals,wizards,witches,demons,sticksturningintosnakes,burningbushes,foodfallingfromthesky,peoplewalkingonwater,andallsortsofmagical,absurdandprimitivestories,andyousaythatwearetheonesthatneedhelp",Mark Twain,['books-bible']
"iamawfullygreedyiwanteverythingfromlife.iwanttobeawomanandtobeaman,tohavemanyfriendsandtohaveloneliness,toworkmuchandwritegoodbooks,totravelandenjoymyself,tobeselfishandtobeunselfishyousee,itisdifficulttogetallwhichiwant.andthenwhenidonotsucceedigetmadwithanger.",Simone de Beauvoir,"['anger', 'books', 'friends', 'greedy', 'life', 'loneliness', 'man', 'myself', 'selfish', 'travel', 'woman', 'work', 'write']"
"whatsupiasked.youtellme,hesaid.youweretheoneaboutreadytostartmakingoutwithadrian.itwasanexperiment,isaid.itwaspartofmytherapy.whatthehellkindoftherapyareyouin","Richelle Mead,","['fight', 'humor']"
thisisanewyear.anewbeginning.andthingswillchange.,Taylor Swift,"['change', 'fresh-starts', 'new-beginnings', 'reinvention', 'time']"
district12whereyoucanstarvetodeathinsafety.,"Suzanne Collins,",['young-adult-fiction']
whydobeautifulsongsmakeyousadbecausetheyarenttrue.nevernothingisbeautifulandtrue.,"Jonathan Safran Foer,","['beauty', 'music', 'sadness']"
"theremustbesomethinginbooks,somethingwecantimagine,tomakeawomanstayinaburninghousetheremustbesomethingthere.youdontstayfornothing.","Ray Bradbury,","['books', 'censorship']"
"nowthatshehadnothingtolose,shewasfree.","Paulo Coelho,",['freedom']
"luxuryisnotanecessitytome,butbeautifulandgoodthingsare.",Anais Nin,['life']
"itwouldseemthatourlordfindsourdesiresnottoostrong,buttooweak.wearehalfheartedcreatures,foolingaboutwithdrinkandsexandambitionwheninfinitejoyisofferedus,likeanignorantchildwhowantstogoonmakingmudpiesinaslumbecausehecannotimaginewhatismeantbytheofferofaholidayatthesea.wearefartooeasilypleased.","C.S. Lewis,",['christianity']
